Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE34760,"p53 deletion induces liver carcinoma with bilineal differentiation","Expression profiling by array","Mus musculus",21,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34760/suppl",22342966,,"Hans A Kestler","Dec 29, 2011"
GSE26509,"Expression data in UPEC cystitis in female C57BL/6 mice","Expression profiling by array","Mus musculus",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26509/suppl",22184725,,"Glen C Ulett","Dec 28, 2011"
GSE26703,"Determining the Program of Leydig Cell Development","Expression profiling by array","Rattus norvegicus",19,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26703/suppl",21832170,,"Scott Jelinsky","Dec 28, 2011"
GSE33210,"Expression data in UPEC cystitis in female CBA mice","Expression profiling by array","Mus musculus",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33210/suppl",22184725,,"Glen C Ulett","Dec 28, 2011"
GSE34682,"Expression analysis of Nanog-like-MO1 injected zebrafish embryos at the sphere stage","Expression profiling by array","Danio rerio",6,,"CALLS;PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34682/suppl",22421047,,"Cong Xu","Dec 28, 2011"
GSE34684,"Nanog-like Regulates Endoderm Formation through the Mxtx2-Nodal Pathway","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by array","Danio rerio",12,,"CALLS;PAIR;WIG;YLF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34684/suppl",22421047,,"Cong Xu","Dec 28, 2011"
GSE34731,"Expression in LT-HSC after in vitro culture in mSCF, mTpo, mFlt3L, hIGFBP2 and Angptl5.","Expression profiling by array","Mus musculus",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34731/suppl",22334016,,"Martijn H Brugman","Dec 28, 2011"
GSE34737,"Comparative analysis of mRNA expression in untreated lymph node stroma cells and upon treatment with exosomes derived from ASMLwt, ASML cd44v knockdown cells.","Expression profiling by array","Rattus norvegicus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34737/suppl",23479506,,"Sanyukta Rana","Dec 28, 2011"
GSE34739,"Exosomal tumor miRNA modulates premetastatic organ cells","Expression profiling by array;Non-coding RNA profiling by array","BK polyomavirus;Homo sapiens;Human herpesvirus 1;Human herpesvirus 4;Human herpesvirus 5;Human herpesvirus 8;Human immunodeficiency virus 1;JC polyomavirus;Murid herpesvirus 1;Murid herpesvirus 4;Mus musculus;Rattus norvegicus;Simian virus 40",31,,"GPR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34739/suppl",23479506,,"Sanyukta Rana","Dec 28, 2011"
GSE17466,"Gene expression in iPrEC cell line transfected with wild-type USP2A, mutant USP2A, or empty vector.","Expression profiling by array","Homo sapiens",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17466/suppl",,,"Luigi Marchionni","Dec 27, 2011"
GSE19659,"Indirect expression microarray from 5 pairs of tissues from colorectal cancer patients","Expression profiling by array","Homo sapiens",10,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19659/suppl",,,"sunwoo Lee","Dec 27, 2011"
GSE19660,"Expression microarray with 5-aza-2'-deoxycytidine-treated Caco-2 cells","Expression profiling by array","Homo sapiens",1,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19660/suppl",,,"sunwoo Lee","Dec 27, 2011"
GSE26485,"Molecular targeting of CSN5 in human hepatocellular carcinoma: a mechanism of therapeutic response","Expression profiling by array","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26485/suppl",21499307,,"Daekwan Seo","Dec 27, 2011"
GSE26799,"Identification of GABRA1 and LAMA2 as new DNA methylation markers in colorectal cancer","Expression profiling by array","Homo sapiens",11,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26799/suppl",,,"sunwoo Lee","Dec 27, 2011"
GSE28239,"Identification and functional impact of genomic copy number variants in zebrafish, an important human disease model (Zebrafish Strain CNVs) (expression array)","Expression profiling by array","Danio rerio",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28239/suppl",22203992,,"Charles Lee","Dec 27, 2011"
GSE28328,"Extensive genetic diversity and substructuring among zebrafish strains revealed through copy number variant analysis","Expression profiling by array;Genome variation profiling by genome tiling array","Danio rerio",93,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28328/suppl",22203992,,"Charles Lee","Dec 27, 2011"
GSE32875,"Identification of novel androgen-regulated pathways and mRNA isoforms through genome-wide exon-specific profiling of the LNCaP transcriptome","Expression profiling by array","Homo sapiens",32,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32875/suppl",22194994,,"Prabhakar Rajan","Dec 27, 2011"
GSE32929,"Expression data from Ezh2-null erythrocyte/megakaryocyte progenitor (MEP)","Expression profiling by array","Mus musculus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32929/suppl",22042701,,"ATSUSHI IWAMA","Dec 27, 2011"
GSE34724,"Enhanced salt stress tolerance of rice plants expressing a vacuolar H+-ATPase subunit c1 (SaVHAc1) gene from the halophyte grass Spartina alterniflora Löisel","Expression profiling by array","Oryza sativa;Sporobolus alterniflorus",8,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34724/suppl",22284568,,"Niranjan Baisakh","Dec 27, 2011"
GSE19571,"Ceratitis capitata gene expression related to sexual maturation in females","Expression profiling by array","Ceratitis capitata",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19571/suppl",22303464,,"Ludvik Marcus Gomulski","Dec 25, 2011"
GSE19572,"Ceratitis capitata gene expression related to sexual maturation in males","Expression profiling by array","Ceratitis capitata",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19572/suppl",22303464,,"Ludvik Marcus Gomulski","Dec 25, 2011"
GSE19573,"Ceratitis capitata gene expression related to mating status in mature females (mated vs virgin)","Expression profiling by array","Ceratitis capitata",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19573/suppl",22303464,,"Ludvik Marcus Gomulski","Dec 25, 2011"
GSE19608,"Ceratitis capitata gene expression related to mating status in mature males (mated vs virgin)","Expression profiling by array","Ceratitis capitata",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19608/suppl",22303464,,"Ludvik Marcus Gomulski","Dec 25, 2011"
GSE19614,"Ceratitis capitata gene expression","Expression profiling by array","Ceratitis capitata",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19614/suppl",22303464,,"Ludvik Marcus Gomulski","Dec 25, 2011"
GSE21088,"Intrasite and Intersite expression analysis of Mytilus californianus","Expression profiling by array","Mytilus californianus",110,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21088/suppl",,,"Sean P Place","Dec 25, 2011"
GSE30038,"Programming human pluripotent stem cells into adipocytes [Affymetrix]","Expression profiling by array","Homo sapiens",34,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30038/suppl",22246346,,"Tim Ahfeldt","Dec 25, 2011"
GSE30039,"Programming human pluripotent stem cells into adipocytes [Agilent]","Expression profiling by array","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30039/suppl",22246346,,"Tim Ahfeldt","Dec 25, 2011"
GSE30041,"Programming human pluripotent stem cells into adipocytes","Expression profiling by array","Homo sapiens",58,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30041/suppl",22246346,,"Tim Ahfeldt","Dec 25, 2011"
GSE34685,"Salmonella Typhimurium stbC mutant","Expression profiling by array","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2",1,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34685/suppl",22654583,,"Ke-Chuan Wang","Dec 25, 2011"
GSE30821,"Integration of BRCA1-mediated miRNA and mRNA signatures reveal miR-146a, miR-99b and miR-205 regulation of the TRAF2 and NFkB pathways (mRNA dataset)","Expression profiling by array","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30821/suppl",22167321,,"Beatriz Martinez","Dec 24, 2011"
GSE30822,"Integration of BRCA1-mediated miRNA and mRNA signatures reveal miR-146a, miR-99b and miR-205 regulation of the TRAF2 and NFkB pathways","Non-coding RNA profiling by array;Expression profiling by array","BK polyomavirus;Homo sapiens;Human herpesvirus 1;Human herpesvirus 4;Human herpesvirus 5;Human herpesvirus 8;Human immunodeficiency virus 1;JC polyomavirus;Murid herpesvirus 1;Murid herpesvirus 4;Mus musculus;Rattus norvegicus;Simian virus 40",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30822/suppl",22167321,,"Beatriz Martinez","Dec 24, 2011"
GSE31137,"transcriptome analyses of n8514 and wox14-Floral stem gene expression affected by the AtWOX14 gene mutation","Expression profiling by array","Arabidopsis thaliana",4,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31137/suppl",,,"Eddy Blondet","Dec 24, 2011"
GSE34667,"Expression data from ozone-treated wild-type and G-protein null mutant Arabidopsis lines","Expression profiling by array","Arabidopsis thaliana",27,GDS4378,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34667/suppl",21988569,,"Fitzgerald Lewis Booker","Dec 24, 2011"
GSE34675,"Gene Expression from diabetic ischemic limbs in WT and p75KO mice","Expression profiling by array","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34675/suppl",23065828,,"Klemens Vierlinger","Dec 24, 2011"
GSE34714,"Routine use of microarray-based gene expression profiling to identify patients with low cytogenetic risk acute myeloid leukemia: accurate results can be obtained even with suboptimal samples. (test samples)","Expression profiling by array","Homo sapiens",117,,,,22289410,,"Philippe Guardiola","Dec 24, 2011"
GSE6049,"Expression profiles of PTLD","Expression profiling by array","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6049/suppl",,,"Manuel Montesinos-Rongen","Dec 23, 2011"
GSE6733,"Gene expression changes in aortas of db/db versus control db/+ mice ","Expression profiling by array","Mus musculus",5,,,,18591389,,"Nino Mzhavia","Dec 23, 2011"
GSE6735,"Gene expression changes in aortas of mice on high fat versus regular chow diet.","Expression profiling by array","Mus musculus",6,,,,18591389,,"Nino Mzhavia","Dec 23, 2011"
GSE9790,"Arsenic-induced Changes in L2 Cells","Expression profiling by array","Rattus norvegicus",30,,,,18315880,,"Tingting Weng","Dec 23, 2011"
GSE11116,"ISR target genes in the liver of mock-injected and AP20187-treated mice of wildtype and Atf4-/- genotype","Expression profiling by array","Mus musculus",8,,,,18522833,,"Seiichi Oyadomari","Dec 23, 2011"
GSE11210,"ISR target genes in the liver of either LFD and HFD-treated Alb::GC mice and AP20187-treated TTR::Fv2E-PERK mice","Expression profiling by array","Mus musculus",16,,,,18522833,,"Seiichi Oyadomari","Dec 23, 2011"
GSE19785,"Expression data from Arabidopsis and Maize leaves","Expression profiling by array","Arabidopsis thaliana;Zea mays",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19785/suppl",,,"Andreas Magusin","Dec 23, 2011"
GSE25007,"Drosophila brain gene expression with age: mRNA profiling","Expression profiling by array","Drosophila melanogaster",9,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25007/suppl",22343898,,"Bonini Nancy","Dec 23, 2011"
