Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE36785,"Rice leaves","Expression profiling by array","Oryza sativa",152,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36785/suppl",23217716,,"Takeshi Izawa","Dec 07, 2012"
GSE38085,"Gene expression profiles of EpiSCs under epiblastic and neural plate developmental conditions","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38085/suppl",22992956,,"Hisato Kondoh","Dec 07, 2012"
GSE38095,"Leptin and the Placental Response to Maternal Food Restriction during Early Pregnancy","Expression profiling by array","Mus musculus",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38095/suppl",22993381,,"Laura Clamon Schulz","Dec 07, 2012"
GSE38706,"Evaluation of gene expression between CD44+ and CD44- cells in colonospheres","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38706/suppl",23002207,,"Hirokazu Ohata","Dec 07, 2012"
GSE41243,"Gene expression from Gaucher Disease iPSc","Expression profiling by array","Homo sapiens",7,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41243/suppl",23118351,,"Erika Lorenzo Vivas","Dec 07, 2012"
GSE42356,"Gene array experiment to identify genes that are upregulated by saturating creatine levels in vitro and potentially inhibiting creatine transporter (CrT) activity","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42356/suppl",23715727,,"Sevasti Zervou","Dec 07, 2012"
GSE42405,"Gene expression profiling of FUT8 knockdown CL1-5 cells","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42405/suppl",23267084,,"Chi-Huey Wong","Dec 07, 2012"
GSE42732,"Aspergillus nidulans: Control (0 h starvation) vs. induction of starvation (12 h and 24 h) for WT, delta xprG and delta atmA","Expression profiling by array","Aspergillus nidulans;Aspergillus nidulans FGSC A4",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42732/suppl",24192833,,"Nadia Graciele Krohn","Dec 07, 2012"
GSE42763,"Expression data of multiple sclerosis patients receiving glatiramer acetate therapy [U133 Plus 2.0]","Expression profiling by array","Homo sapiens",37,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42763/suppl",24134771,,"Michael Hecker","Dec 07, 2012"
GSE42772,"Transcription pattern in Normal (NL) and Down's Syndrome (DS) Astrocytes","Expression profiling by array","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42772/suppl",23312288,,"Pablo Helguera","Dec 07, 2012"
GSE42788,"Response of quiescent human fibroblasts to miR-22 overexpression","Expression profiling by array","Homo sapiens",4,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42788/suppl",23303785,,"Vishy Iyer","Dec 07, 2012"
GSE34215,"Knockout of GPx4 gene in mouse keratinocyte","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34215/suppl",23364477,,"Bradley A Carlson","Dec 06, 2012"
GSE35543,"Gene expression profiling of in vitro derived induced and natural FOXP3+ regulatory T cells and ex-iTreg cells in the mouse","Expression profiling by array","Mus musculus",6,GDS4364,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35543/suppl",23125413,,"Martin Hessner","Dec 06, 2012"
GSE35789,"Transcription profiling of mouse liver cells during the circadian cycle at 4 hour time resolution","Expression profiling by array","Mus musculus",7,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35789/suppl",23209382,,"Nouria Hernandez","Dec 06, 2012"
GSE35790,"Kinetic RNA polymerase II occupancy, associated histone marks, and mRNA accumulation reveal transcriptional and post-transcriptional mechanisms underlying circadian gene expression","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",35,,"BEDGRAPH;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35790/suppl",23209382,,"Nouria Hernandez","Dec 06, 2012"
GSE36001,"Integrative analysis reveals relationships of genetic and epigenetic alterations in osteosarcoma [gene expression]","Expression profiling by array","Homo sapiens",25,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36001/suppl",23144859,,"Leonardo A. Meza-Zepeda","Dec 06, 2012"
GSE36004,"Integrative analysis reveals relationships of genetic and epigenetic alterations in osteosarcoma.","Expression profiling by array;Methylation profiling by array;Genome variation profiling by SNP array","Homo sapiens",69,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36004/suppl",23144859,,"Leonardo A. Meza-Zepeda","Dec 06, 2012"
GSE38161,"Transcription profile in patients with cyanotic Tetralogy of Fallot undergoing corrective surgery using hyperoxic/standard cardiopulmonary bypass","Expression profiling by array","Homo sapiens",5,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38161/suppl",22991208,,"Mohamed T. Ghorbel","Dec 06, 2012"
GSE38162,"Transcription profile in patients with cyanotic Tetralogy of Fallot undergoing corrective surgery using controlled reoxygenation cardiopulmonary bypass","Expression profiling by array","Homo sapiens",5,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38162/suppl",22991208,,"Mohamed T. Ghorbel","Dec 06, 2012"
GSE38177,"Controlling Reoxygenation During Cardiopulmonary Bypass is Associated with Reduced Transcriptomic Changes in Cyanotic Patients with Tetralogy of Fallot Undergoing Heart Surgery","Expression profiling by array","Homo sapiens",10,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38177/suppl",22991208,,"Mohamed T. Ghorbel","Dec 06, 2012"
GSE38349,"Transcriptional changes associated to resistance to the cell wall active bacteriocin Lcn972","Expression profiling by array","Lactococcus lactis subsp. cremoris MG1363;Lactococcus lactis subsp. lactis",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38349/suppl",22890757,,"Beatriz Martinez","Dec 06, 2012"
GSE39192,"Synthetic lethal screening with small molecule inhibitors provides a pathway to rational combination therapies for melanoma","Expression profiling by array","Homo sapiens",24,,,,22962324,,"Stephen Turner","Dec 06, 2012"
GSE39658,"Regulation of neurogenin-dependent gene expression by geminin","Expression profiling by array","Xenopus laevis",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39658/suppl",22949506,,"Kristen L Kroll","Dec 06, 2012"
GSE39673,"Geminin regulates the transcriptional and epigenetic status of neuronal fate promoting genes during mammalian neurogenesis","Expression profiling by high throughput sequencing;Expression profiling by array","Mus musculus;Xenopus laevis",10,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39673/suppl",22949506,,"Kristen L Kroll","Dec 06, 2012"
GSE42494,"Effects of ploidy and sex-locus genotype on gene expression patterns in the fire ant Solenopsis invicta [pupa]","Expression profiling by array","Solenopsis invicta",30,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42494/suppl",23334415;25355475,,"Mingkwan Nipitwattanaphon","Dec 06, 2012"
GSE42597,"Effect of furfural on the Clostridium beijerinckii NCIMB 8052 transcriptome","Expression profiling by array","Clostridium beijerinckii NCIMB 8052",4,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42597/suppl",,,"Yan Zhang","Dec 06, 2012"
