Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE12548,"EMT Time series in ARPE19","Expression profiling by array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12548/suppl",19965872,,"Rui Ose","Aug 26, 2009"
GSE12591,"Angiotensin II induced aneurysms in male ApoE mice","Expression profiling by array","Mus musculus",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12591/suppl",19580648,,"Catherine Rush","Aug 26, 2009"
GSE12599,"Transcriptional profiling of mouse glomerulus in lipopolysaccharide-induced proteinuria model","Expression profiling by array","Mus musculus",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12599/suppl",19136817,,"ying sun","Aug 26, 2009"
GSE13071,"Knee joint synovium from different grades of inflammation in mouse collagen induced arthritis (CIA)","Expression profiling by array","Mus musculus",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13071/suppl",19690516,,"Anton Glück","Aug 26, 2009"
GSE14340,"Transcriptional profiling of human neural crest cells","Expression profiling by array","Homo sapiens",5,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14340/suppl",19666486,,"Heather C Etchevers","Aug 26, 2009"
GSE17747,"Gene expression profiles in rat lung following intratracheal instillation with C60 fullerene particles","Expression profiling by array","Rattus norvegicus",22,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17747/suppl",20471445,,"Katsuhide Fujita","Aug 26, 2009"
GSE17811,"Gene expression-based assessment of the effect of PQQ","Expression profiling by array","Rattus norvegicus",25,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17811/suppl",20491655,,"eskouhi Tchaparian","Aug 26, 2009"
GSE12251,"A Predictive Response Signature to Infliximab Treatment in Ulcerative Colitis","Expression profiling by array","Homo sapiens",23,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12251/suppl",19700435,,"K Li","Aug 25, 2009"
GSE12670,"Renal gene expression analysis: transcript-level data","Expression profiling by array","Rattus norvegicus",48,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12670/suppl",19307186,,"Donald Dunbar","Aug 25, 2009"
GSE12671,"Renal gene expression analysis: exon-level data","Expression profiling by array","Rattus norvegicus",48,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12671/suppl",19307186,,"Donald Dunbar","Aug 25, 2009"
GSE12672,"Renal gene expression analysis of rat malignant hypertensive end-organ damage","Expression profiling by array","Rattus norvegicus",96,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12672/suppl",19307186,,"Donald Dunbar","Aug 25, 2009"
GSE16565,"Transcriptome analysis of Escherichia coli K-12 and ada mutant","Expression profiling by array","Escherichia coli;Escherichia coli K-12",7,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16565/suppl",19728878,,"Jonghwan Baek","Aug 25, 2009"
GSE17720,"Microarray studies of drb0090 mutant vs wild type","Expression profiling by array","Deinococcus radiodurans;Deinococcus radiodurans R1",2,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17720/suppl",,,"Hari S Misra","Aug 25, 2009"
GSE17722,"Microarray studies of dr2518 knockout mutant vs wild type","Expression profiling by array","Deinococcus radiodurans;Deinococcus radiodurans R1",2,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17722/suppl",,,"Hari S Misra","Aug 25, 2009"
GSE17724,"Microarray studies of pqqE disruption mutant vs wild type","Expression profiling by array","Deinococcus radiodurans;Deinococcus radiodurans R1",2,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17724/suppl",,,"Hari S Misra","Aug 25, 2009"
GSE17767,"Transcriptome comparison of Streptococcus pyogenes strain MGAS2221 with that of an isogenic PEL mutant","Expression profiling by array","Streptococcus pyogenes",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17767/suppl",19888332,,"Paul Sumby","Aug 25, 2009"
GSE17777,"HMVEC cells treated with vascular endothelial growth factor, anthrax edema toxin, and an Epac activator","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17777/suppl",17491018;19710505,,"Robert C Doebele","Aug 25, 2009"
GSE17782,"Gene Expression Data from Human Mesenchymal Stem Cells with and without TGF-B vs Human Annulus Disc Cells","Expression profiling by array","Homo sapiens",13,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17782/suppl",,,"Helen Gruber","Aug 25, 2009"
GSE17786,"Response of ethanologenic E coli strains LY180 and EMFR9 to furfural","Expression profiling by array","Escherichia coli;Escherichia coli str. K-12 substr. MG1655",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17786/suppl",19684179;19429550,,"Peter Christopher Turner","Aug 25, 2009"
GSE17790,"A genome-wide analysis of small regulatory RNAs in the human pathogen group A Streptococcus","Expression profiling by array;Expression profiling by genome tiling array;Non-coding RNA profiling by genome tiling array","Streptococcus pyogenes",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17790/suppl",19888332,,"Paul Sumby","Aug 25, 2009"
GSE17793,"Expression Profiling in Subcellular Compartments of Human Cell Line K562","Expression profiling by array","Homo sapiens",9,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17793/suppl",21526222,,"Sridar Chittur","Aug 25, 2009"
GSE17795,"Microarray between Normal and SMAR1 overexpression B16F10 cells","Expression profiling by array","Mus musculus",1,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17795/suppl",19799771,,"samit chattopadhyay","Aug 25, 2009"
GSE5266,"Expression data from normal atria and ventricles","Expression profiling by array","Rattus norvegicus",8,GDS3625,,,19486520,,"Adolfo J de Bold","Aug 24, 2009"
GSE9004,"Age and albumin D site-binding protein control tissue plasminogen activator levels: neurotoxic impact.","Expression profiling by array","Mus musculus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9004/suppl",19574439,,"Benoit Denis Roussel","Aug 24, 2009"
GSE9545,"Gene Expression Profiles Associated with Ethanol-Induced Teratogenic Effects in a C57BL/6 Mouse Embryo Culture Model","Expression profiling by array","Mus musculus",19,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9545/suppl",18366608,,"Feng Zhou","Aug 24, 2009"
GSE12668,"Waldenstrom's Macroglobulinemia patients: expression and aCGH data","Expression profiling by array;Genome variation profiling by array","Homo sapiens",64,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12668/suppl",19351844;19362969,,"Esteban Braggio","Aug 24, 2009"
GSE14060,"RNA pol II ChIP on chip (RPCC)","Expression profiling by array","Saccharomyces cerevisiae",30,,,,19696888;21103382,,"Jose E. Perez-Ortin","Aug 24, 2009"
GSE14080,"GRO analysis of rap1-sil, tpk1 & tpk2.","Expression profiling by array","Saccharomyces cerevisiae",17,,,,19696888,,"Jose E. Perez-Ortin","Aug 24, 2009"
GSE14082,"Analysis of Spt16 depletion","Expression profiling by array","Saccharomyces cerevisiae",27,,,,19696888,,"Jose E. Perez-Ortin","Aug 24, 2009"
GSE14084,"Gene category-specific regulation of transcription elongation across the yeast genome","Expression profiling by array;Genome binding/occupancy profiling by array","Saccharomyces cerevisiae",136,,,,19696888,,"Jose E. Perez-Ortin","Aug 24, 2009"
GSE14972,"GENE PROFILING AND PATHWAY ANALYSIS OF NASP EXPRESSION IN HELA CELLS","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14972/suppl",19439102,,"Oleg M Alekseev","Aug 24, 2009"
