Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE20058,"Genotypic and phenotypic characterization of the side population of gastric cancer cell lines","Expression profiling by array","Homo sapiens",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20058/suppl",,,"Rosa Schmuck","Dec 01, 2010"
GSE20297,"The effects of terbutaline or GW9508 on TNF-alpha and IFN gamma (TNF-alpha + IFN gamma) stimulation by HaCaT","Expression profiling by array","Homo sapiens",12,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20297/suppl",,,"Tomoko Fujita","Dec 01, 2010"
GSE20343,"BES performance of S. oneidensis pure- and co-culture","Expression profiling by array","Shewanella oneidensis MR-1",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20343/suppl",21036604,,"Miriam Rosenbaum","Dec 01, 2010"
GSE20446,"Hpa1Xoo-Mediated Transcriptome in Transgenic Cotton","Expression profiling by array","Gossypium hirsutum",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20446/suppl",20667962,,"miao weiguo","Dec 01, 2010"
GSE20577,"Gestational taurine supplementation of mice: effect on offspring gene expression in liver and skeletal muscle","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20577/suppl",,,"Ole Hartvig Mortensen","Dec 01, 2010"
GSE20718,"Metastatic Canine Mammary Carcinomas","Expression profiling by array","Canis lupus familiaris",27,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20718/suppl",21062462,,"Dido Lenze","Dec 01, 2010"
GSE20924,"Genome-wide effect of cholera toxin and nitrate treatment in etiolated rice plants","Expression profiling by array","Oryza sativa",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20924/suppl",,,"Nandula Raghuram","Dec 01, 2010"
GSE20925,"Genetic analysis of the genome wide role of G-proteins in rice metabolism","Expression profiling by array","Oryza sativa",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20925/suppl",,,"Nandula Raghuram","Dec 01, 2010"
GSE20969,"CC10 gene deletion: Effect on gene expression in the sinonasal mucosa","Expression profiling by array","Mus musculus",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20969/suppl",,,"heng wang","Dec 01, 2010"
GSE21074,"Gene expression profiles of the egg and synergid cell in rice","Expression profiling by array","Oryza sativa",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21074/suppl",21106719,,"Nori Kurata","Dec 01, 2010"
GSE21582,"Expression analysis of pye-1 mutants and root pericycle cells to iron sufficient or iron deficient conditions","Expression profiling by array","Arabidopsis thaliana",10,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21582/suppl",20675571,,"Terri Anita Long","Dec 01, 2010"
GSE21713,"mRNA expression data from primary untreated neuroblastoma tumour samples","Expression profiling by array","Homo sapiens",40,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21713/suppl",21145484;22491673,,"Pieter mestdagh","Dec 01, 2010"
GSE22039,"Gene expression data from forelimb buds of E10.5 mouse embryos","Expression profiling by array","Mus musculus",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22039/suppl",,,"mounia lagha","Dec 01, 2010"
GSE22040,"Gene expression data from somites of E9.5 mouse embryos","Expression profiling by array","Mus musculus",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22040/suppl",,,"mounia lagha","Dec 01, 2010"
GSE22041,"Transcriptome analyses based on genetic screens for Pax3 myogenic targets in the mouse embryo","Expression profiling by array","Mus musculus",18,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22041/suppl",,,"mounia lagha","Dec 01, 2010"
GSE22054,"Stable expression of intracellular Notch suppresses v-Src-induced transformation in avian neural cells","Expression profiling by array","Gallus gallus",6,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22054/suppl",,,"georges calothy","Dec 01, 2010"
GSE22062,"sciP array data","Expression profiling by array","Caulobacter crescentus CB15",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22062/suppl",20598601,,"Michael Laub","Dec 01, 2010"
GSE22118,"Effect of iodine on early stage thyroid autonomy","Expression profiling by array","Rattus norvegicus",8,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22118/suppl",21035537,,"Knut Krohn","Dec 01, 2010"
GSE22121,"Smallpox vaccination with LC16m8 vaccinia virus provides a gene expression profile similar to DryVax vaccination","Expression profiling by array","Homo sapiens",142,,"GPR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22121/suppl",,,"Judy Yen","Dec 01, 2010"
