Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE9854,"U2OS ad-HIC1 target identification","Expression profiling by array","Homo sapiens",19,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9854/suppl",,,"Eric Hoffman","Dec 13, 2007"
GSE9863,"Kawasaki disease Cohort1 sequential samples","Expression profiling by array","Homo sapiens",65,,,,18067656,,"Stephen Popper","Dec 13, 2007"
GSE9864,"Kawasaki disease Cohort2 Acute","Expression profiling by array","Homo sapiens",64,,,,18067656,,"Stephen Popper","Dec 13, 2007"
GSE9873,"Gene-expression patterns reveal underlying biological processes in Kawasaki disease.","Expression profiling by array","Homo sapiens",129,,,,18067656,,"Stephen Popper","Dec 13, 2007"
GSE8949,"Gene expression changes in mouse aorta during activation of or interference with PPAR gamma signaling.","Expression profiling by array","Mus musculus",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8949/suppl",20018933,,"Henry Keen","Dec 12, 2007"
GSE9549,"Regulation of Liver Regeneration and Hepatocarcinogenesis by Suppressor of Cytokine Signaling 3","Expression profiling by array","Mus musculus",6,GDS3149,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9549/suppl",18158318,,"Richard Beyer","Dec 12, 2007"
GSE9727,"Gene Expression in S49 Deathless (D-) cell variant","Expression profiling by array","Mus musculus",26,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9727/suppl",18048352,,"Alexander C Zambon","Dec 12, 2007"
GSE9788,"Gene expression analysis of brain cortex of reserpine-treated rats","Expression profiling by array","Rattus norvegicus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9788/suppl",,,"Leyre Uriguen","Dec 12, 2007"
GSE9789,"Gene expression analysis of brain cortex of olfactory-bulbectomized rats","Expression profiling by array","Rattus norvegicus",11,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9789/suppl",,,"Leyre Uriguen","Dec 12, 2007"
GSE9797,"Gene expression analysis of brain cortex of corticosterone-treated rats","Expression profiling by array","Rattus norvegicus",19,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9797/suppl",,,"Leyre Uriguen","Dec 12, 2007"
