Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE1220,"pSuc_vs_H2O","Expression profiling by array","Arabidopsis thaliana",28,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1221,"pam46_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1222,"pam48_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1223,"petc_vs_WT","Expression profiling by array","Arabidopsis thaliana",8,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1224,"pete1_pete2_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1225,"pete1_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1226,"pete2_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1227,"HL_1h_vs_0h","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1228,"pmildew_vs_no_mildew","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1229,"ppi1_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1230,"ppi2_vs_WT","Expression profiling by array","Arabidopsis thaliana",16,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1231,"prpl11_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1232,"prors1_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,16517761;15656970,,"christos Noutsos","Jan 01, 2005"
GSE1233,"prors2_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,16517761;15656970,,"christos Noutsos","Jan 01, 2005"
GSE1235,"psae1_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1236,"psae2_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1237,"psaf_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1238,"HLrec_2d_vs_0h","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1239,"psag_vs_WT","Expression profiling by array","Arabidopsis thaliana",16,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1240,"psah2_vs_WT","Expression profiling by array","Arabidopsis thaliana",12,,,,15656970,,"christos Noutsos","Jan 01, 2005"
GSE1241,"psah2k_vs_WT","Expression profiling by array","Arabidopsis thaliana",8,,,,15656970,,"christos Noutsos","Jan 01, 2005"
