Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE52037,"Transcriptional override: a regulatory network model of indirect responses to modulations in microRNA expression (mRNA)","Expression profiling by array","Homo sapiens",20,,"CEL;CHP;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52037/suppl",24666724,,"Christopher G Hill","Nov 05, 2013"
GSE52054,"Expression data from rat livers - Naproxen and NO-Naproxen treatment","Expression profiling by array","Rattus norvegicus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52054/suppl",,,"Yan Lu","Nov 05, 2013"
GSE52056,"Gene expression of soleus response to simulated microgravity","Expression profiling by array","Rattus norvegicus",3,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52056/suppl",,,"Zhongquan Dai","Nov 05, 2013"
GSE52057,"Soleus response to simulated microgravity","Non-coding RNA profiling by array;Expression profiling by array","Rattus norvegicus;synthetic construct",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52057/suppl",,,"Zhongquan Dai","Nov 05, 2013"
GSE52061,"Expression profiling of TSC2 overexpressing cells","Expression profiling by array","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52061/suppl",24748662,,"Shalmali Pradhan","Nov 05, 2013"
GSE52063,"Expression data from canine osteosarcoma stem cells","Expression profiling by array","Canis lupus familiaris",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52063/suppl",,,"Lisa Pang","Nov 05, 2013"
GSE52064,"DRM complex mutant lin-54 vs. H3K36 methyltransferase mutant mes-4 vs. lin-54; mes-4 double mutant vs. wild type C.elegans germline","Expression profiling by array","Caenorhabditis elegans",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52064/suppl",24281426,,"Andreas Rechtsteiner","Nov 05, 2013"
GSE52066,"14-3-3ζ promotes TGF-β-induced bone metastasis program in 231 cells","Expression profiling by array","Homo sapiens",12,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52066/suppl",25670079,,"Jia Xu","Nov 05, 2013"
GSE31976,"regulatory T cells in human pregnancy","Expression profiling by array","Homo sapiens",23,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31976/suppl",23733877,,"Grant Parnell","Nov 04, 2013"
GSE33687,"An attenuated Lassa vaccine in SIV-infected rhesus macaques does not persist or cause renavirus disease but does elicit protective immunity","Expression profiling by array;Third-party reanalysis","Homo sapiens;Macaca mulatta",30,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33687/suppl",23402317,,"Maria Salvato","Nov 04, 2013"
GSE33974,"Effect of Pnpla6 gene silencing in D3 mouse embryonic stem cells","Expression profiling by array","Mus musculus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33974/suppl",24142151,,"MIGUEL A SOGORB","Nov 04, 2013"
