Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL7229,"OHSU_macaque_RRV_252_v1","spotted oligonucleotide","Macaca mulatta rhadinovirus 17577",252,1,1,"Scott William Wong","Aug 29, 2008"
GPL6225,"DSM PENa520255F Penicillium chrysogenum 14k v1.0","in situ oligonucleotide","Penicillium chrysogenum",15531,114,12,"Marco Alexander van den Berg","Aug 28, 2008"
GPL7205,"SMD Mus musculus 42K Print_942","spotted DNA/cDNA","Mus musculus",42624,16,1,"Stanford Microarray Database (SMD)","Aug 28, 2008"
GPL7210,"PRHU06-S1-0002 (PC Human Operon v3 36K)","spotted oligonucleotide","Homo sapiens",36288,12,1,"Shawn Anderson","Aug 28, 2008"
GPL7184,"PDP Mouse 16K BMAP-MSV","spotted DNA/cDNA","Mus musculus",16315,53,1,"Debra Parchaliuk","Aug 27, 2008"
GPL5929,"TIGR_Mouse_25K cDNA array","spotted DNA/cDNA","Mus musculus",25798,60,3,"Joseph Nadeau","Aug 26, 2008"
GPL5776,"Earthworm 4K cDNA array version 1.1","spotted DNA/cDNA","Eisenia fetida",8704,40,1,"Ping Gong","Aug 26, 2008"
GPL6419,"Print_835","spotted DNA/cDNA","Saccharomyces cerevisiae",9984,4,1,"Andre Gerber","Aug 26, 2008"
GPL6420,"Print_626","spotted DNA/cDNA","Saccharomyces cerevisiae",10752,1,1,"Andre Gerber","Aug 26, 2008"
GPL6421,"Print_627","spotted DNA/cDNA","Saccharomyces cerevisiae",9600,2,1,"Andre Gerber","Aug 26, 2008"
GPL6464,"SCRI Pectobacterium atrosepticum 11K (SCRI_012663_Eca_11k)","in situ oligonucleotide","Pectobacterium atrosepticum",5282,4,1,"Pete Hedley","Aug 26, 2008"
GPL6871,"University of Utah Schmidtea mediterranea cDNA array generation I","spotted DNA/cDNA","Schmidtea mediterranea",3435,11,1,"Alejandro Sánchez Alvarado","Aug 26, 2008"
GPL7031,"Agilent Whole Human Genome Oligo Microarray - custom annotation","in situ oligonucleotide","Homo sapiens",13792,7,6,"Siavash K Kurdistani","Aug 26, 2008"
GPL7032,"Human Promoter ChIP-on-chip Microarray - custom annotation","in situ oligonucleotide","Homo sapiens",220672,26,6,"Siavash K Kurdistani","Aug 26, 2008"
GPL7072,"JCVI PFGRC Staphylococcus aureus version 4 array","spotted oligonucleotide","Staphylococcus aureus",4381,12,2,"John E Gustafson, Arunachalam Muthaiyan","Aug 25, 2008"
GPL7190,"Steroltalk v2 mouse","spotted DNA/cDNA","Mus musculus",320,101,5,"Peter Juvan","Aug 23, 2008"
GPL5746,"Nimblegen 2007 Danio rerio Gene Expression Array","in situ oligonucleotide","Danio rerio",392778,3,1,"Lisa J. McReynolds","Aug 22, 2008"
GPL5783,"Nimblegen 2006 Danio rerio Gene Expression Array","in situ oligonucleotide","Danio rerio",392750,6,1,"Lisa J. McReynolds","Aug 22, 2008"
GPL6422,"Sentrix MouseRef-8 Expression BeadChip","oligonucleotide beads","Mus musculus",24048,219,9,"GEO admin","Aug 22, 2008"
GPL7194,"MWG Zebrafish 14K-1 Array","spotted oligonucleotide","Danio rerio",14784,6,1,"Ramani Ramchandran","Aug 22, 2008"
GPL7198,"Rosetta/Merck Dog 44k 1.0 microarray","in situ oligonucleotide","Canis lupus familiaris",39558,33,1,"Amit V Kulkarni","Aug 22, 2008"
GPL7202,"Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Probe Name version)","in situ oligonucleotide","Mus musculus",41282,7622,433,"Agilent Technologies","Aug 22, 2008"
GPL6516,"US EPA Ecoarray FHM Pimephales promelas 10K 2000 gene (pilot) array","spotted oligonucleotide","Pimephales promelas",10262,32,2,"Daniel L. Villeneuve","Aug 21, 2008"
GPL6669,"CSIRO-PI Oryza Sativa small RNA sequences 2007 (454 sequenced)","other","Oryza sativa",99654,0,0,"Andrew Spriggs","Aug 21, 2008"
GPL6670,"CSIRO-PI Oryza Sativa small RNA sequences 2007 (Solexa sequenced)","other","Oryza sativa",2683656,0,0,"Andrew Spriggs","Aug 21, 2008"
GPL7138,"Sterolgene v1 mouse","spotted DNA/cDNA","Mus musculus",151,72,4,"Peter Juvan","Aug 21, 2008"
GPL6720,"Agilent Saccharomyces cerevisiae array","in situ oligonucleotide","Saccharomyces cerevisiae",13048,29,1,"Gavin Sherlock","Aug 19, 2008"
GPL7076,"OSU-CCC MicroRNA Microarray Version 3.0 (Merged replicated probes)","spotted oligonucleotide","Homo sapiens;Mus musculus",1300,10,2,"Almudena R. Ramiro","Aug 19, 2008"
GPL6115,"Global proteomic characterization of photosystem II complexes from Synechocystis sp. PCC 6803","MS","Synechocystis sp. PCC 6803",218,3,1,"Eric Agnew Welsh","Aug 18, 2008"
GPL6737,"Fred Hutchinson Cancer Research Center human 4.3K BAC array","spotted DNA/cDNA","Homo sapiens",4342,143,2,"Ilona N Holcomb","Aug 17, 2008"
GPL7173,"Agilent Mouse 4X44K plus 2500 MEEBO","spotted oligonucleotide","Mus musculus",43674,12,1,"Andrea J Barczak","Aug 17, 2008"
GPL7029,"Carrington-Arabidopsis-Illumina-miRNA-AGO-high-throughput sequencing","other","Arabidopsis thaliana",515462,4,1,"James C Carrington","Aug 16, 2008"
GPL6657,"EBT Cyprinus carpio cDNA 1.6K array version 1","spotted DNA/cDNA","Cyprinus carpio",1566,9,1,"An Hagenaars","Aug 15, 2008"
GPL7161,"ENCODE NimbleGen HG17 50mer 390K tiling array (catalog number C1980001)","in situ oligonucleotide","Homo sapiens",385149,1,1,"Pascal Preker","Aug 15, 2008"
GPL7160,"Agilent-016061 QIMR Schistosoma 44k v 1.0","in situ oligonucleotide","Schistosoma japonicum;Schistosoma mansoni",45220,91,4,"Geoffrey Gobert","Aug 14, 2008"
GPL7113,"Burkholderia thailandensis 70mer triplicate array","spotted oligonucleotide","Burkholderia thailandensis",19200,3,1,"John Varga","Aug 13, 2008"
GPL7152,"Ambion Human Mouse Rat miRNA microarray (probes_1564V1_Oct05)","spotted oligonucleotide","Homo sapiens;Mus musculus;Rattus norvegicus",1536,54,2,"Lars Bullinger","Aug 12, 2008"
GPL7150,"ISQ Chip Folsomia candida Collembola VU 15.7K version 2.0","in situ oligonucleotide","Folsomia candida",15743,336,11,"Benjamin Nota","Aug 09, 2008"
GPL6961,"Dmel_chrX_XHet","spotted oligonucleotide","Drosophila melanogaster",43982,5,1,"Bas van Steensel","Aug 08, 2008"
GPL5738,"Duke University Murine Operon v.3.0 spotted Array","spotted oligonucleotide","Mus musculus",31786,5,5,"Gary Shull","Aug 08, 2008"
GPL7080,"Operon Homo sapiens 34K","spotted oligonucleotide","Homo sapiens",30996,9,3,"Sailendra Nath Sarma","Aug 08, 2008"
GPL5728,"NIMBLE_MMCCSAL01_380k","in situ oligonucleotide","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2",386350,4,1,"Michael McClelland","Aug 07, 2008"
GPL6483,"OHSU Vibrio vulnificus Nimblegen 4K","in situ oligonucleotide","Vibrio vulnificus CMCP6",4488,6,1,"Jorge H Crosa","Aug 07, 2008"
GPL7009,"Jones Lab Human PC3/PrEC selected promoter arrays, 20bp resolution, 389K","in situ oligonucleotide","Homo sapiens",389307,17,1,"Amos Tanay","Aug 07, 2008"
GPL7144,"NuGO array (human) NuGO_Hs1a520180 [CDF: Hs_ENTREZG_10]","in situ oligonucleotide","Homo sapiens",16313,180,2,"Guido Hooiveld","Aug 07, 2008"
GPL5705,"Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: MBNI Version 9 (UniGene 199)]","in situ oligonucleotide","Homo sapiens",172953,6,1,"Xiaolei Yu","Aug 06, 2008"
GPL6344,"1.5 kb mouse promoter ChIP-chip (MM5, NimbleGen Systems Inc.)","spotted oligonucleotide","Mus musculus",26129,6,2,"Lea Sistonen","Aug 06, 2008"
GPL6931,"Human H1299 cells p73 ChIP-seq","other","Homo sapiens",4224,1,2,"Jennifer Pietenpol","Aug 06, 2008"
GPL7134,"USouthAL_Rickettsia prowazekii Madrid E 1.5K array version 1","spotted oligonucleotide","Rickettsia prowazekii str. Madrid E",1501,8,1,"Jonathon Audia","Aug 06, 2008"
GPL5180,"OSU-CCC hsa-miRNA-chip version 3","spotted oligonucleotide","Homo sapiens;Mus musculus",11520,76,1,"Robert Scott Hudson","Aug 05, 2008"
GPL7117,"JCVI Aspergillus flavus NRRL3357 27.6k oligo array","spotted oligonucleotide","Aspergillus flavus NRRL3357;Aspergillus oryzae RIB40",27648,0,0,"Natalie Fedorova","Aug 05, 2008"
GPL6869,"UMNENT Anaplasma phagocytophilum Hz whole genome tiling array 256K","in situ oligonucleotide","Anaplasma phagocytophilum str. HZ",257944,18,1,"Michael Herron","Aug 04, 2008"
GPL5937,"AMMS_PBS_Y. pestis 201","spotted DNA/cDNA","Yersinia pestis",4005,26,3,"Ruifu Yang","Aug 01, 2008"
GPL5948,"ASG Porcine jejunum spleen cDNA array","spotted DNA/cDNA","Sus scrofa",26496,16,1,"Gabriele Gross","Aug 01, 2008"
GPL6527,"Largemouth Bass oligo array","in situ oligonucleotide","Micropterus salmoides",43803,40,4,"Joe Griffitt","Aug 01, 2008"
GPL6575,"CiC Homo sapiens Bac array version 1","spotted DNA/cDNA","Homo sapiens",3032,13,1,"Olga Lopez","Aug 01, 2008"
GPL6772,"NimbleGen Watermelon 12-plex NimbleScreen array","in situ oligonucleotide","Citrullus lanatus",833,12,1,"Patrick Wechter","Aug 01, 2008"
GPL6924,"HMS Drosophila ChIP-seq","other","Drosophila melanogaster",0,2,1,"Peter J Park","Aug 01, 2008"
GPL7022,"Sugden Lab Epstein-Barr virus (EBV) miRNA microarray","spotted oligonucleotide","Arabidopsis thaliana;Homo sapiens;Human herpesvirus 4",39,48,1,"Zachary Pratt","Aug 01, 2008"
GPL5797,"Ramaciotti centre-miRNA-1488-v8.1","spotted oligonucleotide","Homo sapiens;Mus musculus;Rattus norvegicus",3136,0,0,"Ruby CY Lin","Jul 31, 2008"
GPL6944,"Agilent Technologies Human Genome CNV microarray set G4423B (AMADID 018897)","in situ oligonucleotide","Homo sapiens",243504,30,3,"Peter Tsang","Jul 31, 2008"
